id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,60,31,84,2023-08-30,0.48,1,1,0,
3943,Historic Rowhouse Near Monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,63,1,534,2025-02-19,2.77,5,349,38,Hosted License: 5007242201001033
4197,Capitol Hill Bedroom walk to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,128,4,64,2025-01-30,0.33,2,352,6,Hosted License: 5007242201000749
4529,Bertina's  House Part One,5803,Bertina,,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,64,30,102,2019-07-05,0.54,2,179,0,Exempt
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,,50,96,2023-08-17,0.51,1,158,0,
7103,Lovely guest suite in a quiet but close-in neighborhood,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,74,31,91,2022-06-03,0.50,27,310,0,
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85,31,415,2024-07-27,2.25,4,194,3,
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52,31,120,2024-12-20,0.66,4,218,3,
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,30,38,2023-11-14,0.21,1,39,0,Hosted License: 5007242201000873
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,52,31,106,2025-02-28,0.63,4,257,2,
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,52,31,109,2025-01-13,0.60,4,225,2,
27682,Private 1-bed apartment-Walk to METRO,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,70,90,11,2022-08-13,0.06,2,220,0,
32087,B&B Charm - Room 301 | Walk Dupont Circle Metro,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,268,1,16,2024-09-25,0.10,11,154,1,Exempt
52092,People's Place 2- Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,,31,197,2024-11-30,1.12,2,256,1,
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Entire home/apt,84,5,160,2025-02-01,1.05,1,175,31,Hosted License: 5007242201000081
65024,"Nice looking large room on Rhodeisland avenue, nw",315148,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91717,-77.0085,Private room,35,31,11,2021-12-01,0.11,37,132,0,
67483,Charming B & B in Columbia Heights,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,76,31,163,2024-10-20,0.95,1,240,1,
93551,Upscale Master Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,79,31,104,2024-12-14,0.61,4,1,1,
116951,Upscale Private Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91436,-77.0181,Private room,71,31,87,2024-11-01,0.52,4,364,2,
150109,Great apartment in perfect location,723470,Steffanie,,"Dupont Circle, Connecticut Avenue/K Street",38.91525,-77.04001,Entire home/apt,,31,30,2022-03-01,0.18,1,20,0,
153545,Guest Room 3 miles to the White House,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,48,30,41,2024-12-13,0.25,4,306,2,Hosted License: 5007242201000811<br />Unhosted License: 5007262201000812
155859,~Upper North West GuestNest DC,745305,Larry And Paulette,,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,61,31,129,2019-10-28,0.78,2,175,0,
161913,X-tra large suite;3 min Wlk 2 Metro,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room,99,31,5,2015-08-10,0.04,2,365,0,
164069,Master en-suite in historical house near monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,81,1,255,2024-12-20,1.53,5,339,41,Hosted License: 5007242201001033
174808,Historic American Four Square,835242,Jeffrey,,Historic Anacostia,38.86432,-76.98749,Private room,95,2,90,2024-10-20,0.83,1,175,14,Hosted License: 5007242201001736
175608,People's Place  - Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,59,31,191,2024-08-24,1.17,2,225,2,
178395,"Spare Room for Washington,DC Visit or entire house",852801,Allison,,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,255,31,0,,,2,365,0,
196429,"Takoma Garden apt-Lush yard,pets ok",956417,Julia,,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,119,31,5,2022-04-01,0.04,1,358,0,
198685,Private room in central location.,966613,Robin,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,59,31,160,2024-12-31,0.97,1,198,3,
201116,Victorian Haven - Private Basement!,983611,Reed,,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire home/apt,80,28,227,2024-10-15,1.38,1,304,2,Hosted License: 5007242201001837
204741,1-Suburbia in the City--Best Value!!!,1005751,Denise,,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,Private room,37,31,116,2023-02-28,0.71,2,38,0,
223203,ROOM FOR RENT IN A NICE AREA OF DC,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,81,2,15,2024-05-19,0.09,4,365,1,Hosted License: 5007242201001959
223922,Private Retreat Apt. in DC. Pets are Welcome Free!,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94482,-77.04437,Entire home/apt,130,1,222,2025-01-21,1.35,4,0,19,Hosted License: 5007242201000811<br />Unhosted License: 5007262201000812
251611,LUXURY LIVING AT A BARGAIN,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,81,2,1,2019-03-10,0.01,4,365,0,Hosted License: 5007242201001959
251615,NICE HOUSE IN A VERY NICE NEIGHBORHOOD,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,81,2,6,2022-08-19,0.07,4,365,0,Hosted License: 5007242201001959
251619,LUXURY LIVING AT A BARGAIN,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,81,2,9,2023-04-03,0.06,4,365,0,Hosted License: 5007242201001959
262629,Guest bedroom and private bath.,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96691,-77.0044,Private room,58,90,43,2025-01-01,0.26,2,345,3,Exempt
